tttl	count	mean
Chief               	611	0.022913256955810146
Management          	348	0.022988505747126436
Manager,            	303	0.0231023102310231
School              	428	0.02336448598130841
Data                	384	0.0234375
Office              	1733	0.023658395845354875
Commercial          	253	0.023715415019762844
Executive           	1517	0.023731048121292023
Store               	716	0.023743016759776536
Finance             	379	0.023746701846965697
Warehouse           	419	0.02386634844868735
Tax                 	247	0.024291497975708502
Operator            	246	0.024390243902439025
CEO                 	244	0.02459016393442623
Transportation      	243	0.024691358024691357
Financial           	988	0.025303643724696356
Lab                 	236	0.025423728813559324
Pharmacist          	235	0.02553191489361702
Legal               	624	0.02564102564102564
Pharmacy            	308	0.025974025974025976
Paralegal           	423	0.026004728132387706
Research            	344	0.02616279069767442
Program             	953	0.026232948583420776
Service             	987	0.02634245187436677
Analyst             	489	0.026584867075664622
Business            	1380	0.02681159420289855
Staff               	665	0.02706766917293233
Marketing           	623	0.027287319422150885
nurse               	292	0.0273972602739726
Sales               	3420	0.027777777777777776
teacher             	896	0.027901785714285716
Technical           	715	0.027972027972027972
Truck               	632	0.028481012658227847
registered          	383	0.028720626631853787
Property            	278	0.02877697841726619
Manager             	3785	0.02879788639365918
Driver              	999	0.02902902902902903
RN                  	1945	0.02930591259640103
Supervisor          	1663	0.029464822609741433
Security            	608	0.029605263157894735
Social              	505	0.0297029702970297
Loan                	400	0.03
sales               	963	0.030114226375908618
mechanic            	293	0.030716723549488054
Admin               	320	0.03125
driver              	720	0.03194444444444444
assistant           	280	0.03214285714285714
Superintendent      	279	0.03225806451612903
Mechanic            	339	0.032448377581120944
machine             	246	0.032520325203252036
Medical             	946	0.03276955602536998
truck               	515	0.03300970873786408
Customer            	1198	0.0333889816360601
Server              	324	0.033950617283950615
System              	323	0.034055727554179564
customer            	293	0.034129692832764506
Credit              	232	0.034482758620689655
International       	229	0.034934497816593885
Quality             	818	0.035452322738386305
General             	1734	0.03575547866205306
office              	247	0.03643724696356275
supervisor          	603	0.03648424543946932
senior              	274	0.0364963503649635
Air                 	235	0.03829787234042553
Logistics           	261	0.038314176245210725
Area                	338	0.038461538461538464
Tech                	259	0.03861003861003861
Federal             	502	0.0398406374501992
Lockheed            	246	0.04065040650406504
Maintenance         	682	0.04105571847507331
warehouse           	266	0.041353383458646614
Dental              	338	0.04142011834319527
Machine             	238	0.04201680672268908
Technician          	493	0.04259634888438134
Insurance           	233	0.04291845493562232
Special             	347	0.043227665706051875
Mortgage            	272	0.04411764705882353
general             	267	0.0449438202247191
Patient             	241	0.04564315352697095
Southern            	252	0.047619047619047616
Plant               	251	0.04780876494023904
Clerk               	230	0.04782608695652174
manager             	1036	0.04826254826254826
Texas               	364	0.0521978021978022
University          	1236	0.05339805825242718
San                 	408	0.056372549019607844
Food                	277	0.05776173285198556
National            	605	0.05785123966942149
Global              	286	0.05944055944055944
Community           	352	0.05965909090909091
service             	334	0.059880239520958084
First               	558	0.06272401433691756
Health              	307	0.06514657980456026
City                	2014	0.06752730883813307
Union               	265	0.06792452830188679
Department          	1134	0.07142857142857142
nan                 	23347	0.07157236475778472
Dept                	305	0.07213114754098361
JPMorgan            	234	0.07264957264957266
St                  	273	0.07326007326007326
Kaiser              	481	0.07484407484407485
IBM                 	239	0.07531380753138076
Law                 	238	0.07563025210084033
United              	1495	0.0782608695652174
city                	332	0.0783132530120482
U.S.                	702	0.07834757834757834
USAF                	319	0.07836990595611286
County              	369	0.07859078590785908
New                 	777	0.07979407979407979
JP                  	259	0.08108108108108109
North               	310	0.08387096774193549
State               	1655	0.08519637462235649
The                 	2271	0.08586525759577279
UPS                 	313	0.08626198083067092
AT&T                	439	0.08656036446469248
Bank                	806	0.08933002481389578
US                  	2531	0.0900829711576452
NYC                 	253	0.09090909090909091
California          	294	0.09183673469387756
American            	846	0.09456264775413711
St.                 	479	0.09603340292275574
USPS                	312	0.09615384615384616
Los                 	289	0.09688581314878893
Verizon             	389	0.09768637532133675
Wells               	552	0.10507246376811594
Home                	328	0.10670731707317073
Central             	243	0.11522633744855967
Walmart             	376	0.1196808510638298
us                  	257	0.13229571984435798
